trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",35,0,-2.115084149136612,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.2893842179390506}",25,0,-57.175872406013525,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,12,-0.33518338776688417,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",30,2,-60.4072135156009,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 2}",1
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",30,0,4.335377169278185,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",30,10,30.130367075136387,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,0,-8.226489579554421,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,0,-1.8314429031444373,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.2698200563846868}",20,5,-22.45606874646884,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,1,19.867736821075535,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",25,14,6.617745821892717,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.261845668580326}",20,0,22.99519330484226,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",25,18,15.448806073764395,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,0,-55.54940229116898,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",20,0,8.987862129846791,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,2,-23.396253157043024,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.24907530463166816}",20,5,29.650722087351337,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160643}",30,2,-12.056124763051812,"{0: 25, 1: 0, 2: 1, 3: 2, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,0,-1.7117527377778288,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.24171401689703645}",20,0,-46.42136783185686,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",20,14,-10.836431962071302,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23692775868212176}",30,2,22.586459905674648,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23457028809379765}",20,13,12.457215221466347,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23223627472975883}",30,17,17.939599496734935,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,0,-18.941581142318505,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.22763768838381274}",30,0,-10.305429865162042,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.22537265553943872}",30,0,28.727140085606504,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,4,30.110478559150508,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,11,14.417395021288295,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
